km,make,transmissionType,year,price,seller_type,bodyType,cubicCapacity,hp,acceleration,length,width
11597,21500,1,2019,13699,0,700,1199.0,82.0,14.6,3973.0,1739.0
30000,26500,0,2020,37490,0,700,1984.0,290.0,5.6,4268.0,1790.0
112000,22500,1,2014,9600,0,700,1560.0,115.0,11.9,4369.0,1802.0
48357,9500,1,2020,35950,0,500,1995.0,150.0,10.3,4770.0,1890.0
116632,3500,0,2018,36490,0,700,2993.0,265.0,6.1,5091.0,1902.0
70609,1500,1,2015,17490,0,700,1598.0,110.0,10.7,4310.0,1785.0
64573,2500,0,2018,26799,0,500,2488.0,194.0,9.2,4550.0,1840.0
180000,1500,0,2013,12500,0,1100,1968.0,143.0,9.5,4699.0,1826.0
67000,21500,1,2017,13450,0,700,1598.0,165.0,8.6,4830.0,1828.0
39843,16500,1,2017,18300,0,700,1496.0,116.0,9.4,3982.0,1727.0
38213,12500,1,2019,23699,0,500,1598.0,136.0,11.2,4485.0,1855.0
49053,7500,1,2015,8900,0,700,1242.0,69.0,13.4,3620.0,1658.0
170000,1500,1,2012,14500,0,700,1968.0,150.0,8.6,4237.0,1777.0
82527,7500,0,2016,22900,0,1500,1997.0,150.0,10.8,4796.0,1916.0
72000,1500,0,2017,36990,0,500,1968.0,190.0,7.9,4663.0,1893.0
32816,25500,0,2018,25500,0,700,1798.0,122.0,11.0,4360.0,1795.0
114000,4500,1,2014,12950,0,700,1997.0,163.0,9.1,4779.0,1860.0
12435,25500,0,2020,35699,0,500,2487.0,218.0,8.4,4600.0,1855.0
118468,1500,0,2015,17699,0,700,1968.0,150.0,8.3,4310.0,1785.0
38000,1500,0,2020,33990,0,1100,1984.0,150.0,9.2,4725.0,1842.0
218512,16500,1,2011,10800,0,700,1995.0,143.0,9.3,4110.0,1789.0
14149,26500,0,2020,25300,0,700,1498.0,150.0,8.3,4258.0,1790.0
320000,25500,1,2016,8900,0,1100,1995.0,143.0,9.8,4820.0,1810.0
94700,19500,1,2013,12500,0,500,1686.0,130.0,10.5,4278.0,1777.0
45283,1500,0,2018,30100,0,500,1968.0,150.0,9.3,4388.0,1831.0
50500,21500,1,2018,16990,0,500,1199.0,110.0,11.6,4159.0,1739.0
47961,15500,0,2019,23900,0,500,1499.0,163.0,9.7,4405.0,1805.0
183000,25500,1,2014,8800,0,1500,1598.0,112.0,12.7,4460.0,1790.0
159000,3500,1,2010,16490,0,700,2993.0,245.0,6.3,4899.0,1860.0
55321,21500,1,2017,11499,0,700,1199.0,82.0,12.2,3973.0,1739.0
63000,3500,0,2018,31500,0,500,1995.0,150.0,9.3,4360.0,1824.0
107000,9500,0,2018,16450,0,700,1580.0,141.0,11.1,4470.0,1820.0
39358,11500,1,2020,17900,0,500,999.0,120.0,11.2,4236.0,1805.0
199000,26500,1,2016,10900,0,700,1598.0,110.0,10.5,4255.0,1799.0
24000,12500,1,2019,17890,0,500,998.0,100.0,10.8,4140.0,1760.0
92051,22500,0,2018,16920,0,700,1969.0,120.0,10.5,4369.0,1802.0
166022,21500,1,2018,21500,0,500,1499.0,130.0,10.8,4447.0,1841.0
55982,25500,0,2017,13200,0,700,1497.0,100.0,11.8,3950.0,1695.0
76119,6500,1,2015,9390,0,700,1242.0,69.0,12.9,3571.0,1627.0
46000,1500,1,2017,29990,0,1100,1968.0,190.0,8.7,4943.0,1874.0
30327,19500,1,2017,10999,0,700,1398.0,87.0,12.5,3698.0,1720.0
120217,26500,1,2016,17900,0,1500,1598.0,115.0,11.4,4527.0,1829.0
31016,3500,0,2020,36499,0,700,1995.0,150.0,8.4,4709.0,1827.0
136642,23500,1,2019,16500,0,700,1598.0,130.0,10.5,4449.0,1836.0
81258,17500,1,2017,20850,0,700,1598.0,130.0,9.9,4394.0,1806.0
46000,19500,1,2020,16990,0,1100,1199.0,145.0,9.6,4702.0,1809.0
57629,5500,1,2015,10299,0,700,898.0,90.0,11.1,4058.0,1733.0
89990,23500,1,2018,17500,0,700,1461.0,110.0,11.9,4848.0,1868.0
325000,1500,0,2012,11490,0,1100,2967.0,245.0,6.6,4940.0,1898.0
78000,13500,0,2017,31900,0,500,2494.0,197.0,9.2,4630.0,1845.0
