color,fuelTypeId,id,km,make,makeId,province,provinceId,title,transmissionType,transmissionTypeId,year,brand,brand_id,model,model_id,price,seller_type,bodyType,cubicCapacity,doors,hp,acceleration,consumptionAverage,consumptionExtraUrban,consumptionUrban,emissions,fuelTankCapacity,height,length,luggageCapacity,manufacturerPrice,seats,topSpeed,weight,width
COMMON.COLOR_BLUE,1,51309892,79990,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 118kW 160CV Executive RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,29490,profesional,BODY_TYPE_4X4,2143.0,5.0,160.0,8.8,5.3,4.8,6.0,139.0,58.0,1671.0,4687.0,525.0,47815,5.0,198.0,1660.0,1903.0
COMMON.COLOR_GRAY,1,51359384,91718,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 140kW 190CV Executive RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,30500,profesional,BODY_TYPE_4X4,2143.0,5.0,190.0,7.6,5.3,4.8,6.0,139.0,58.0,1671.0,4687.0,525.0,50315,5.0,210.0,1660.0,1903.0
COMMON.COLOR_RED,2,50908025,34220,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO MiTo 1.4 57kW 78CV URBAN 3p.,COMMON.TRANSMISSION_MANUAL,2,2018,ALFA ROMEO,1,MiTo,907.0,13900,profesional,BODY_TYPE_SEDAN,1368.0,3.0,78.0,13.0,5.6,4.6,7.3,130.0,45.0,1446.0,4063.0,270.0,14700,5.0,165.0,1070.0,1720.0
COMMON.COLOR_RED,1,50021968,26000,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Executive Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,ALFA ROMEO,1,Stelvio,1217.0,37950,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,5.7,5.2,6.5,147.0,58.0,1671.0,4687.0,525.0,53815,5.0,215.0,1745.0,1903.0
COMMON.COLOR_GRAY,1,51361500,129000,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Spider 2.4 JTDm QTronic 2p.,COMMON.TRANSMISSION_MANUAL,2,2019,ALFA ROMEO,1,Spider,208.0,23490,profesional,BODY_TYPE_CABRIO,2387.0,2.0,200.0,8.5,7.9,5.8,11.4,208.0,70.0,1318.0,4393.0,200.0,43952,2.0,225.0,1655.0,1830.0
COMMON.COLOR_BLUE,1,51329308,40352,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Giulia 2.2 Diesel 110kW 150CV Super 4p.,COMMON.TRANSMISSION_MANUAL,2,2017,ALFA ROMEO,1,Giulia,1185.0,24699,profesional,BODY_TYPE_SEDAN,2143.0,4.0,150.0,8.4,4.2,3.5,5.3,109.0,52.0,1436.0,4643.0,480.0,37700,5.0,220.0,1374.0,1860.0
COMMON.COLOR_GRAY,1,51140476,67959,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulia 2.2 Diesel 180cv Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2016,ALFA ROMEO,1,Giulia,1185.0,23499,profesional,BODY_TYPE_SEDAN,2143.0,4.0,180.0,6.8,4.2,3.5,5.3,110.0,52.0,1436.0,4643.0,480.0,40350,5.0,230.0,1445.0,1860.0
COMMON.COLOR_RED,2,51366387,59700,ALFA ROMEO,1,Sta. C. Tenerife,38,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Giulia AT,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulia,1185.0,19990,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,38875,5.0,235.0,1429.0,1860.0
COMMON.COLOR_RED,2,51366342,59700,ALFA ROMEO,1,Las Palmas,35,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Giulia AT,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulia,1185.0,19990,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,38875,5.0,235.0,1429.0,1860.0
COMMON.COLOR_RED,1,51257039,18162,ALFA ROMEO,1,Zaragoza,50,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV TCT Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulietta,872.0,18900,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.2,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,28170,5.0,195.0,1320.0,1798.0
COMMON.COLOR_RED,1,51256323,11067,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Stelvio 2.2 Diesel 110kW 150CV Stelvio RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,35199,profesional,BODY_TYPE_4X4,2143.0,5.0,150.0,8.8,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,41840,5.0,198.0,1604.0,1903.0
COMMON.COLOR_RED,2,51366101,66724,ALFA ROMEO,1,Valencia,46,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulia,1185.0,27500,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,41690,5.0,235.0,1429.0,1860.0
COMMON.COLOR_RED,1,50861583,77348,ALFA ROMEO,1,Valencia,46,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,32990,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48840,5.0,215.0,1659.0,1903.0
COMMON.COLOR_RED,2,51365829,66724,ALFA ROMEO,1,Zaragoza,50,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulia,1185.0,27500,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,41690,5.0,235.0,1429.0,1860.0
COMMON.COLOR_GRAY,1,50806658,112126,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Giulietta 1.6 JTDm 105cv Progression 5p.,COMMON.TRANSMISSION_MANUAL,2,2014,ALFA ROMEO,1,Giulietta,872.0,10299,profesional,BODY_TYPE_SEDAN,1598.0,5.0,105.0,11.3,4.0,3.4,5.0,104.0,60.0,1465.0,4351.0,350.0,22290,5.0,185.0,1310.0,1798.0
COMMON.COLOR_RED,2,51365555,66724,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulia,1185.0,27500,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,41690,5.0,235.0,1429.0,1860.0
COMMON.COLOR_WHITE,1,51365298,100719,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulietta,872.0,14899,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
